ID Empleado,Función,Departamento,Unidad,Educación,Género,Tipo de Trabajo,Modalidad,Fecha Contratación,Estatus,Fecha Baja
28,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-01-09
29,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-01-13
30,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-01-17
31,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Parcial,Remoto,2013-01-01,Inactivo,2014-01-18
32,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-02-11
33,Administrativa,Finanzas y Contabilidad,Jalisco,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-03-22
34,Administrativa,Ventas y Marketing,Jalisco,Sin Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-04-06
35,Administrativa,Gerencia y Estrategia,Baja California,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-04-17
36,Administrativa,Logistica,Baja California,Sin Grado,Mujer,Parcial,Remoto,2013-01-01,Inactivo,2014-04-22
37,Operativa,Ingeniería y Tecnología,Nuevo León,Posgrado,Mujer,Parcial,Presencial,2013-01-01,Inactivo,2014-04-27
38,Administrativa,Servicio a cliente,Baja California,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-05-06
39,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-05-08
40,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2014-05-21
41,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-05-22
42,Administrativa,Logistica,Nuevo León,Sin Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-05-22
43,Operativa,Manufactura y Operaciones,Baja California,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-05-24
44,Administrativa,Gerencia y Estrategia,Baja California,Posgrado,Hombre,Parcial,Remoto,2013-01-01,Inactivo,2014-05-30
45,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-06-22
46,Operativa,Ingeniería y Tecnología,Nuevo León,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-06-27
47,Administrativa,Ventas y Marketing,Baja California,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-07-10
48,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Parcial,Presencial,2013-01-01,Inactivo,2014-07-14
49,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Mujer,Parcial,Presencial,2013-01-01,Inactivo,2014-07-25
50,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-07-27
51,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-08-09
52,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2014-08-13
53,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-09-03
54,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-09-05
55,Administrativa,Ventas y Marketing,Estado de México,Sin Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2014-09-06
56,Administrativa,Servicio a cliente,Baja California,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-09-22
57,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-10-03
58,Administrativa,Servicio a cliente,Nuevo León,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2014-10-09
59,Administrativa,Logistica,Jalisco,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2014-11-12
60,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Parcial,Presencial,2013-01-01,Inactivo,2014-11-16
61,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-11-21
62,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-11-22
63,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-11-23
64,Administrativa,Logistica,Jalisco,Sin Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2014-12-02
65,Administrativa,Servicio a cliente,Jalisco,Sin Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-12-06
66,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-12-20
67,Administrativa,Logistica,Baja California,Sin Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2014-12-21
68,Operativa,Manufactura y Operaciones,Baja California,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2014-12-29
69,Administrativa,Servicio a cliente,Estado de México,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-01-05
70,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2015-01-24
71,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2015-02-04
72,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-02-08
73,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-02-17
74,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2015-03-03
75,Administrativa,Logistica,Baja California,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-03-08
76,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2015-03-28
77,Operativa,Ingeniería y Tecnología,Nuevo León,Con Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2015-03-31
78,Administrativa,Logistica,Jalisco,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-04-15
79,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-05-08
80,Operativa,Manufactura y Operaciones,Baja California,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-05-15
81,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-05-30
82,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-06-07
83,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2015-06-28
84,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-07-08
85,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Mujer,Parcial,Remoto,2013-01-01,Inactivo,2015-07-21
86,Administrativa,Logistica,Jalisco,Con Grado,Hombre,Parcial,Presencial,2013-01-01,Inactivo,2015-08-18
87,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-09-12
88,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Parcial,Presencial,2013-01-01,Inactivo,2015-09-17
89,Administrativa,Recursos Humanos,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-09-27
90,Administrativa,Logistica,Baja California,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-09-30
91,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Mujer,Parcial,Presencial,2013-01-01,Inactivo,2015-10-07
92,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-11-03
93,Administrativa,Servicio a cliente,Nuevo León,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-11-03
94,Administrativa,Gerencia y Estrategia,Estado de México,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2015-11-25
95,Administrativa,Ventas y Marketing,Jalisco,Sin Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2015-12-05
96,Administrativa,Gerencia y Estrategia,Estado de México,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2015-12-06
97,Administrativa,Ventas y Marketing,Baja California,Con Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2015-12-07
98,Administrativa,Servicio a cliente,Jalisco,Sin Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2015-12-08
99,Administrativa,Gerencia y Estrategia,Estado de México,Con Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2015-12-13
100,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2015-12-24
101,Administrativa,Ventas y Marketing,Jalisco,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-01-09
102,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-01-14
103,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2016-01-14
104,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-02-05
105,Administrativa,Ventas y Marketing,Baja California,Sin Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-02-06
106,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-02-07
107,Administrativa,Logistica,Nuevo León,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-02-07
108,Administrativa,Logistica,Estado de México,Con Grado,Mujer,Parcial,Presencial,2013-01-01,Inactivo,2016-02-24
109,Operativa,Manufactura y Operaciones,Baja California,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-03-25
110,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2016-04-04
111,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Parcial,Remoto,2013-01-01,Inactivo,2016-04-20
112,Administrativa,Finanzas y Contabilidad,Nuevo León,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-04-25
113,Administrativa,Recursos Humanos,Nuevo León,Con Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2016-05-18
114,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2016-05-21
115,Administrativa,Gerencia y Estrategia,Baja California,Posgrado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2016-06-16
116,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2016-06-20
117,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-06-21
118,Administrativa,Servicio a cliente,Nuevo León,Sin Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-07-19
119,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-08-01
120,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-08-05
121,Administrativa,Logistica,Estado de México,Sin Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-08-12
122,Administrativa,Servicio a cliente,Baja California,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-08-22
123,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-09-17
124,Administrativa,Servicio a cliente,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-10-17
125,Administrativa,Logistica,Jalisco,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-10-21
126,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-11-14
127,Operativa,Manufactura y Operaciones,Baja California,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2016-11-19
128,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2016-11-24
129,Administrativa,Gerencia y Estrategia,Baja California,Posgrado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2016-11-25
130,Operativa,Ingeniería y Tecnología,Estado de México,Posgrado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2016-12-10
131,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-01-02
132,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-01-17
133,Administrativa,Logistica,Estado de México,Sin Grado,Hombre,Parcial,Presencial,2013-01-01,Inactivo,2017-02-10
134,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-02-16
135,Administrativa,Logistica,Estado de México,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-02-25
136,Administrativa,Servicio a cliente,Estado de México,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2017-02-25
137,Operativa,Ingeniería y Tecnología,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-02-28
138,Administrativa,Ventas y Marketing,Estado de México,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-03-31
139,Administrativa,Logistica,Jalisco,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2017-04-16
140,Administrativa,Logistica,Baja California,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-04-27
141,Administrativa,Recursos Humanos,Jalisco,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2017-05-02
142,Administrativa,Servicio a cliente,Baja California,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2017-05-08
143,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-05-09
144,Operativa,Ingeniería y Tecnología,Nuevo León,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-05-09
145,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-05-12
146,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2017-05-16
147,Administrativa,Finanzas y Contabilidad,Estado de México,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-07-08
148,Operativa,Ingeniería y Tecnología,Nuevo León,Posgrado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2017-07-12
149,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-08-09
150,Administrativa,Gerencia y Estrategia,Nuevo León,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2017-09-01
151,Operativa,Ingeniería y Tecnología,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-09-05
152,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-10-02
153,Administrativa,Gerencia y Estrategia,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-10-08
154,Administrativa,Servicio a cliente,Baja California,Sin Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2017-11-01
155,Administrativa,Ventas y Marketing,Nuevo León,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-11-10
156,Administrativa,Ventas y Marketing,Estado de México,Sin Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2017-11-16
157,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2017-11-25
158,Administrativa,Servicio a cliente,Jalisco,Con Grado,Hombre,Parcial,Remoto,2013-01-01,Inactivo,2017-12-02
159,Administrativa,Finanzas y Contabilidad,Nuevo León,Con Grado,Mujer,Tiempo Completo,Remoto,2013-01-01,Inactivo,2017-12-03
160,Administrativa,Ventas y Marketing,Nuevo León,Con Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2017-12-14
161,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2017-12-23
162,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-01-02
163,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-01-11
164,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-01-19
165,Administrativa,Logistica,Estado de México,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-01-21
166,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-01-22
167,Administrativa,Ventas y Marketing,Baja California,Sin Grado,Hombre,Parcial,Remoto,2013-01-01,Inactivo,2018-01-25
168,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-02-25
169,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-02-26
170,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-03-25
171,Operativa,Ingeniería y Tecnología,Nuevo León,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-04-11
172,Administrativa,Ventas y Marketing,Estado de México,Sin Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-04-13
173,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Hombre,Tiempo Completo,Remoto,2013-01-01,Inactivo,2018-04-19
174,Operativa,Manufactura y Operaciones,Baja California,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-04-25
175,Administrativa,Recursos Humanos,Nuevo León,Con Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-05-23
176,Administrativa,Logistica,Estado de México,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-06-04
177,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-06-05
178,Operativa,Ingeniería y Tecnología,Nuevo León,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-06-07
179,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-06-12
180,Operativa,Manufactura y Operaciones,Baja California,Sin Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-07-10
181,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-07-18
182,Administrativa,Servicio a cliente,Baja California,Sin Grado,Hombre,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-07-29
183,Administrativa,Logistica,Nuevo León,Sin Grado,Mujer,Parcial,Remoto,2013-01-01,Inactivo,2018-07-30
184,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-08-01
185,Administrativa,Finanzas y Contabilidad,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-08-05
186,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-08-08
187,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-08-08
188,Administrativa,Servicio a cliente,Jalisco,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-08-18
189,Administrativa,Gerencia y Estrategia,Estado de México,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-10-14
190,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-10-19
191,Operativa,Manufactura y Operaciones,Baja California,Posgrado,Hombre,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-10-21
192,Operativa,Ingeniería y Tecnología,Jalisco,Con Grado,Mujer,Parcial,Remoto,2013-01-01,Inactivo,2018-10-27
193,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2018-11-16
194,Administrativa,Logistica,Jalisco,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-11-17
195,Administrativa,Gerencia y Estrategia,Jalisco,Posgrado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-11-25
196,Operativa,Ingeniería y Tecnología,Estado de México,Con Grado,Mujer,Medio Tiempo,Presencial,2013-01-01,Inactivo,2018-11-27
197,Operativa,Manufactura y Operaciones,Baja California,Con Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-12-13
198,Operativa,Ingeniería y Tecnología,Baja California,Con Grado,Hombre,Tiempo Completo,Presencial,2013-01-01,Inactivo,2018-12-26
199,Administrativa,Servicio a cliente,Estado de México,Sin Grado,Mujer,Tiempo Completo,Presencial,2013-01-01,Inactivo,2019-02-04
200,Administrativa,Servicio a cliente,Baja California,Sin Grado,Mujer,Medio Tiempo,Remoto,2013-01-01,Inactivo,2019-02-07
